,すずらん　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,5,4,4D,3N,5,36
1,Back T.,360,418,149,331,579,285,323,135,538,3118
2,Reg T.,340,397,138,320,561,270,296,116,511,2949
3,Ladies,305,380,106,304,415,257,284,93,408,2552
4,Hdcp,5,3,15,9,1,13,11,17,11,­
