,西,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3,5D,3,5,4,3N,36
1,Back,536,371,355,194,539,143,587,406,149,3280
2,Regular,514,353,340,160,535,132,569,393,138,3134
3,Front1,495,320,323,160,480,132,459,369,110,2848
4,Front2,495,320,259,160,480,132,459,308,110,2723
5,Hdcp,6,3,7,4,1,8,2,5,9,­
