,南アルプス,1,2,3,4,5,6,7,8,9,計
0,Par,3N,4,4,4,4,5,5,3,4D,36
1,Back T.,150,346,371,349,415,576,529,140,373,3249
2,Front,138,333,360,336,355,509,514,128,358,3031
3,Hdcp,8,5,2,7,4,1,3,9,6,­
