,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,5D,4,4,4,3N,5,36
1,Back,336,386,202,514,342,312,328,159,534,3113
2,REGULAR,302,348,184,488,330,257,314,154,520,2897
3,Hdcp,12,8,6,4,14,10,16,18,2,­
