,駒ヶ岳,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4D,5,4D,3N,4,3N,4,36
1,Back T.,411,509,388,539,434,195,445,153,402,3476
2,Reg T,388,486,371,514,411,180,422,132,378,3282
3,Ladies T,374,434,315,486,260,145,366,119,337,2836
4,Hdcp,5,2,8,1,4,7,3,9,6,­
