,もみの木（東）,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3,5,4,4,5,3,36
1,Back,383,273,318,138,483,363,312,519,170,2959
2,Regular,359,261,305,129,463,363,291,509,152,2832
3,Hdcp,4,9,7,8,3,5,2,1,6,­
