,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,5,4D,4,4,3N,4,36
1,Back,303,518,173,562,435,376,418,185,412,3382
2,Regular,279,483,153,538,416,347,405,161,396,3178
3,Front1,279,439,132,490,394,275,392,128,376,2905
4,Front2,279,439,132,424,274,275,314,128,306,2571
5,Hdcp,9,2,8,3,1,6,4,7,5,­
