,八ヶ岳,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3N,4,4,3,4,5D,36
1,Back T.,349,313,513,166,346,394,178,369,515,3143
2,Front,337,298,497,149,337,383,161,354,497,3013
3,Hdcp,5,8,2,7,4,1,9,6,3,­
