,リンドウ,1,2,3,4,5,6,7,8,9,計
0,Par,4D,4,5,3N,4D,5,4,3,4,36
1,Champion,440,386,530,149,505,504,396,184,357,3451
2,Back,420,366,503,131,445,481,355,155,336,3192
3,Regular,383,348,480,116,424,438,333,133,300,2955
4,Ladies,307,328,452,116,367,410,311,106,300,2697
5,Hdcp,2,3,8,4,6,9,1,5,7,­
