,白樺　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4D,4N,3,5,3N,5,4,4,36
1,Back T.,413,377,313,173,494,174,604,393,398,3339
2,Reg T.,394,360,299,151,476,171,575,369,382,3177
3,Ladies,370,330,248,125,405,161,410,339,307,2695
4,Hdcp,4,12,16,18,8,14,2,10,6,­
