,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4D,4,3N,5D,4,5,3,4,4,36
1,Back,418,429,185,531,379,543,176,361,430,3452
2,Regular,408,408,172,521,379,526,162,361,415,3352
3,Ladies,298,310,109,396,269,351,152,213,322,2420
4,Gold,397,380,150,480,373,393,152,348,400,3073
5,Hdcp,6,4,16,12,2,8,18,10,14,­
