,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,4,3N,4,3,5,4D,36
1,Back,576,394,414,313,159,336,175,563,364,3294
2,Regular,560,382,401,295,142,317,161,550,348,3156
3,Front1,544,363,296,295,142,300,161,529,329,2959
4,Front2,484,286,296,295,142,300,161,470,329,2763
5,Hdcp,2,4,1,8,9,6,5,3,7,­
