,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3N,4D,4,4,3N,5,4D,4,36
1,Champion,508,191,447,407,351,163,529,444,420,3460
2,Regular,492,175,410,387,335,147,510,419,404,3279
3,Ladys,417,109,324,346,233,126,424,307,353,2639
4,Hdcp,3,15,9,1,7,13,5,17,11,­
