,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,4,4,5D,4,3N,5,36
1,Back T.,336,178,402,389,380,541,343,193,525,3287
2,Reg.,323,169,378,374,361,511,329,175,501,3121
3,Ladies,228,155,329,314,361,460,293,155,471,2766
4,Hdcp,9,15,3,7,13,1,17,11,5,­
