,富士山,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,4,4,3,4,5D,36
1,Back T.,507,450,362,165,410,430,158,350,563,3395
2,Front,475,430,323,142,345,415,152,335,545,3162
3,Hdcp,5,2,8,7,4,1,9,6,3,­
