,東　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3,4,4,5D,3N,4,4,36
1,BACK,513,375,244,368,434,534,208,427,364,3467
2,REGULAR,502,356,223,334,406,519,172,404,338,3254
3,FRONT1,456,356,196,334,406,456,172,380,283,3039
4,FRONT2,455,323,140,318,340,400,131,340,262,2709
5,Hdcp,12,14,4,16,2,8,10,6,18,­
