,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5D,4,3N,4,4D,4,3N,5,36
1,Black,428,508,389,154,372,410,375,193,503,3332
2,Blue,394,491,374,134,353,393,351,179,484,3153
3,White,375,471,354,123,335,370,330,171,476,3005
4,GOLD,375,435,338,111,315,348,290,156,476,2844
5,GREEN,278,359,264,85,245,232,265,156,336,2220
6,Orange,331,435,338,111,315,316,290,156,442,2734
7,Hdcp,2,12,10,14,8,4,18,6,16,­
