,浅間,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3N,4,4,3N,4,5D,36
1,Back T.,406,496,345,199,323,353,164,322,485,3093
2,Reg.,391,487,318,183,301,333,148,306,461,2928
3,Ladies T.,346,424,298,132,266,313,118,261,391,2549
4,Hdcp,2,8,5,7,4,1,9,6,3,­
