,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,5,4D,4,3,4,4,36
1,BACK,485,178,400,522,416,345,201,433,384,3364
2,REGULAR,464,163,383,512,388,330,186,412,366,3204
3,FRONT1,449,144,334,485,388,303,153,386,330,2972
4,FRONT2,416,110,311,415,334,281,131,361,300,2659
5,Hdcp,13,9,15,11,1,17,5,3,7,­
