,つつじ,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,4,5,3N,5D,3,4,36
1,BACK,410,375,425,330,610,150,505,150,420,3375
2,FRONT,380,320,385,320,595,135,480,135,385,3135
3,LADIES,340,285,345,285,515,120,470,125,335,2820
4,Hdcp,5,8,2,4,1,7,3,9,6,­
