,クィーン　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3,4,4,3,4,5,36
1,BLUE,405,350,535,191,361,356,162,395,529,3284
2,WHITE,385,328,514,175,345,342,157,379,503,3128
3,RED,360,305,475,136,321,316,130,353,467,2863
4,Hdcp,3,9,15,7,13,5,17,1,11,­
