,白鳥,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,5D,4,3N,4,36
1,Back T.,476,322,157,393,379,486,345,192,398,3148
2,Reg T.,461,315,137,362,359,462,330,176,380,2982
3,Ladies T.,403,259,108,282,334,432,305,118,315,2556
4,Hdcp,2,5,8,1,7,4,6,9,3,­
