,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4D,3N,4,4,3,4,5,36
1,Blue,569,432,355,169,410,402,190,367,535,3429
2,White,545,410,336,149,389,376,165,336,515,3221
3,Red,492,260,281,84,336,300,118,288,488,2647
4,Hdcp,4,10,16,14,2,8,12,18,6,­
