,さくら,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,5D,3N,4.0,3.0,4.0,5.0,4.0,36
1,Back T.(A),396.0,357.0,540,222,369.0,178.0,430.0,540.0,351.0,3383
2,Reg.(A),367.0,330.0,513,171,295.0,163.0,379.0,505.0,330.0,3053
3,Back T.(B),398.0,341.0,498,205,353.0,179.0,405.0,524.0,328.0,3231
4,Reg.(B),369.0,315.0,470,152,280.0,167.0,353.0,490.0,307.0,2903
5,Hdcp,,,,,,,,,,­
