,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5,4,3,4,4,5,36
1,Black,373,334,170,540,447,163,435,396,522,3380
2,Blue,356,321,162,519,392,152,400,385,500,3187
3,White,351,309,157,512,386,152,400,381,488,3136
4,Red,346,295,141,450,369,137,274,263,400,2675
5,Hdcp,16,12,6,10,2,18,4,8,14,­
