,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5,3N,5,4,4D,3N,4,36
1,BLACK,332,378,609,204,582,411,440,165,350,3471
2,Blue,332,378,568,178,565,411,415,165,350,3362
3,White,313,354,544,123,522,384,392,154,338,3124
4,Red,252,315,438,98,481,276,303,103,225,2491
5,Hdcp,14,8,10,2,6,16,4,18,12,­
