,富士,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3,4,5,4,3N,5D,36
1,Back T.(A),336,366,406,173,412,537,371,187,576,3364
2,Reg.(A),314,341,385,128,366,506,344,149,526,3059
3,Back T.(B),332,337,369,167,382,513,358,183,577,3218
4,Reg.(B),311,312,348,119,335,482,331,145,526,2909
5,Hdcp,8,2,5,7,4,1,6,9,8,­
