,天神,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,5,3N,5D,3N,4,4,36
1,Back T.,400,344,386,531,186,512,170,371,335,3235
2,Reg.,374,334,366,514,178,496,155,345,312,3074
3,Ladies T.,339,309,336,452,157,355,121,315,269,2653
4,Hdcp,5,8,2,7,4,1,9,3,6,­
