,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5D,4,3,4,3N,5,4,36
1,Back,393,449,519,396,188,425,161,522,398,3451
2,Regular,376,432,501,371,162,414,143,462,383,3244
3,Hdcp,16,4,10,8,14,2,18,12,6,­
