,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4D,4,3N,4,4,3N,5D,4,36
1,Black,574,393,412,163,414,387,174,501,440,3458
2,Blue,560,365,385,155,392,350,150,483,413,3253
3,White,542,336,363,136,369,325,128,466,397,3062
4,GOLD,525,336,307,122,338,325,124,386,372,2835
5,GREEN,372,269,263,93,300,244,124,355,219,2239
6,Orange,453,306,307,122,338,294,124,386,259,2589
7,Hdcp,9,7,3,13,1,15,11,17,5,­
