,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4D,3N,4,4,5,4,3,36
1,Back,457,497,348,172,380,452,513,347,172,3338
2,Reg.,440,490,332,162,356,433,496,317,141,3167
3,Hdcp,9,3,15,13,7,1,5,11,17,­
