,クィーン　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5,4,4,3,5,3,4,36
1,BLUE,381,358,574,360,357,180,554,191,335,3290
2,WHITE,353,345,532,344,342,163,522,155,324,3080
3,RED,322,320,474,317,314,131,454,119,306,2757
4,Hdcp,10,16,2,12,14,6,8,4,18,­
