,キング　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,4,3,4,4,3,4,5,36
1,BLUE,376,529,405,166,425,429,183,461,573,3547
2,WHITE,365,511,392,151,415,409,164,439,532,3378
3,RED,306,466,345,118,315,303,136,384,460,2833
4,Hdcp,4,18,10,16,8,2,14,6,12,­
