,つばめ,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,4,4,3N,5,4,4D,36
1,Back T.(A),432,514,179,394,439,234,529,287,408,3416
2,Front(A),397,486,170,361,410,180,501,276,373,3154
3,Back T.(B),416,504,164,381,418,210,502,283,402,3280
4,Front(B),381,476,150,348,389,159,472,273,367,3015
5,Hdcp,2,5,8,7,1,4,3,9,6,­
