,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,5.0,3N,4D,4.0,3.0,4.0,4.0,5.0,36
1,Back T.,343.0,548.0,207,417,385.0,177.0,393.0,371.0,474.0,3315
2,Reg.,333.0,530.0,196,400,376.0,164.0,378.0,351.0,459.0,3187
3,Front,300.0,449.0,153,331,332.0,71.0,349.0,301.0,408.0,2694
4,Hdcp,,,,,,,,,,­
