,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4D,4,3N,5,4,4,5,36
1,Back T.,376,169,393,374,175,570,340,451,559,3407
2,Reg,351,154,370,353,159,548,310,427,523,3195
3,LADYS,298,108,264,293,115,444,310,347,413,2592
4,Hdcp,8,5,2,7,1,4,9,6,3,­
