,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3,4,4,3N,4,5D,4,4,36
1,ブルー,482,180,381,332,151,413,515,359,407,3220
2,ホワイト,472,175,357,327,135,408,501,354,359,3088
3,グリーン,446,146,313,299,111,353,458,318,304,2748
4,ブラック,510,190,391,346,182,430,535,368,435,3387
5,レッド,422,108,313,299,111,353,401,318,304,2629
6,Hdcp,18,6,14,8,16,2,12,10,4,­
