,キング　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,5,4,3,4,5,4,36
1,BLUE,393,362,174,608,444,179,399,520,393,3472
2,WHITE,379,347,159,583,420,159,377,498,377,3299
3,RED,279,310,136,533,315,135,283,413,342,2746
4,Hdcp,3,17,9,1,7,13,5,15,11,­
