,さつき,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4D,5,3,4,4,5,36
1,BACK,330,170,360,415,535,130,370,400,570,3280
2,FRONT,310,155,285,390,520,95,345,375,555,3030
3,LADIES,285,130,255,360,485,85,335,360,475,2770
4,Hdcp,5,8,2,4,1,7,9,3,6,­
