,西　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,3N,5,4,3,4,4,36
1,BACK,386,525,432,175,507,418,175,346,331,3295
2,REGULAR,363,504,402,150,491,397,148,333,311,3099
3,FRONT1,363,466,365,150,458,397,131,315,311,2956
4,FRONT2,330,401,326,117,407,363,118,298,291,2651
5,Hdcp,5,7,3,11,13,1,9,15,17,­
