,西　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,5.0,4.0,3.0,4D,3N,4.0,5.0,4.0,36
1,Back T.,416.0,524.0,399.0,178.0,380,173,390.0,493.0,368.0,3321
2,Reg.,389.0,504.0,378.0,167.0,359,157,331.0,462.0,352.0,3099
3,Front,312.0,400.0,294.0,100.0,268,108,268.0,392.0,329.0,2471
4,Hdcp,,,,,,,,,,­
