,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4,5,3,4D,4,4,5,36
1,BLUE,401,155,299,475,195,404,376,346,518,3169
2,WHITE,373,130,278,458,162,389,358,330,500,2978
3,RED,306,130,258,386,162,332,340,308,418,2640
4,Hdcp,10,16,4,2,8,14,6,18,12,­
