,さくら,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,5,4,4D,3,5,36
1,BACK,360,395,165,330,590,365,370,185,565,3325
2,FRONT,345,375,130,305,570,350,350,140,530,3095
3,LADIES,305,360,110,285,540,340,325,125,520,2910
4,Hdcp,8,2,5,7,1,4,6,9,3,­
