,北コース(前半),1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3,5,4,3N,4,4D,35
1,Back,303,367,339,188,552,394,144,384,328,2999
2,Regular,273,348,317,166,464,373,120,370,324,2755
3,Ladies,278,208,282,166,390,233,120,309,244,2230
4,Hdcp,9,5,6,4,1,2,8,3,7,­
