,西　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,3N,4,4,4,5D,3,4,36
1,BACK,463,587,168,417,391,411,514,181,401,3533
2,REGULAR,443,541,152,396,365,382,496,161,381,3317
3,FRONT1,402,499,134,346,365,382,496,161,339,3124
4,FRONT2,352,418,116,316,334,341,413,131,319,2740
5,Hdcp,2,12,14,4,16,6,18,10,8,­
