,摩周,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5D,3N,4,4,3N,5D,4,36
1,Back,416,403,519,223,445,414,215,580,393,3608
2,Regular,381,378,492,154,385,352,174,522,364,3202
3,Front,351,345,470,138,364,329,151,490,336,2974
4,Ladies,330,325,445,119,337,292,116,447,305,2716
5,Hdcp,8,2,5,4,1,7,6,3,9,­
