,北ウィング　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4D,5,3N,4,4,3,5,36
1,B.T.,377,356,423,530,139,365,389,184,518,3281
2,R.T.,356,356,401,506,139,365,367,162,496,3148
3,F.T.,334,308,379,468,111,329,343,140,465,2877
4,C.T.,405,390,449,560,175,394,418,213,557,3561
5,Hdcp,14,16,2,12,18,10,8,6,4,­
