,西,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,3,4,4D,4,5,36
1,Back,490,354,162,371,164,341,404,358,501,3145
2,Regular,463,324,148,340,148,325,387,312,472,2919
3,Front,414,242,134,305,101,278,344,266,427,2511
4,Champion,512,382,188,403,184,377,437,401,529,3413
5,Hdcp,2,9,7,4,6,5,3,8,1,­
