,東,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,3.0,4.0,5.0,3N,4.0,4.0,4D,36
1,Back T.,555.0,415.0,210.0,430.0,562.0,156,347.0,393.0,421,3489
2,Back,532.0,398.0,194.0,400.0,530.0,139,338.0,380.0,395,3306
3,Front,507.0,342.0,163.0,334.0,499.0,135,327.0,361.0,357,3025
4,Hdcp,,,,,,,,,,­
