,ＩＮ,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,3,5,4,4,3N,4D,36
1,BACK黒,510,400,385,175,580,440,345,175,435,3445
2,REG青,480,340,345,160,480,410,320,150,400,3085
3,FRONT白,475,340,335,150,460,400,310,145,340,2955
4,LADY,410,330,295,150,460,305,310,145,340,2745
5,Hdcp,8,3,4,5,1,6,9,7,2,­
