,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,4,5,4D,3N,4,36
1,Champ.,512,429,195,359,412,530,397,200,380,3414
2,Reg.,496,394,183,338,394,513,373,170,350,3211
3,Front.,437,357,126,298,319,465,326,132,314,2774
4,Hdcp,13,5,15,1,71,9,3,7,11,­
