,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,4,5,4,4,5D,4,3,36
1,Back,432,174,380,628,406,410,550,362,217,3559
2,Reg.,405,168,353,598,368,374,528,323,203,3320
3,Hdcp,4,16,12,2,8,14,10,18,6,­
