,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,4,4,5,4,3,4,5D,36
1,CHAMP,375,177,378,376,476,410,239,410,536,3377
2,RGL,361,161,367,356,461,391,198,389,506,3190
3,FRONT,361,161,367,337,444,366,159,389,506,3090
4,LADYS,361,126,300,337,444,366,159,322,433,2848
5,Hdcp,16,14,8,18,10,4,6,2,12,­
