,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3,5,3,4D,4,5,36
1,Back,362,406,361,161,502,127,391,394,514,3218
2,Regular,335,387,342,129,473,112,370,364,489,3001
3,Front,335,375,342,120,461,111,314,364,471,2893
4,Ladies,293,337,308,103,412,101,314,273,463,2604
5,Hdcp,7,3,11,15,13,17,1,5,9,­
