,in,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4D,4,5,3,4,4,36
1,BACK,485,372,186,396,402,594,176,419,421,3451
2,RGL.,473,328,165,335,345,571,158,387,394,3156
3,LADY,373,238,102,247,273,466,111,274,301,2385
4,Hdcp,7,6,9,5,4,1,8,2,3,­
