,C（謙信）,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3,5D,4,3N,4,4,36
1,Back T.,509,437,347,182,538,424,194,387,435,3453
2,Regular,474,410,330,173,513,389,177,364,423,3253
3,Front,425,385,305,143,467,353,131,309,372,2890
4,Hdcp,8,3,7,9,5,2,6,4,1,­
