,A(信玄),1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3,4,4D,3N,4,5,36
1,Back T.,448,445,504,182,359,385,149,376,503,3351
2,Regular,434,392,496,169,344,365,127,364,489,3180
3,Front,393,366,419,131,296,332,90,340,452,2819
4,Hdcp,1,2,4,5,6,7,8,3,8,­
