,C,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,5.0,3.0,4D,4.0,3N,4.0,5.0,4.0,36
1,Champion,440.0,496.0,170.0,362,422.0,220,320.0,554.0,428.0,3412
2,Regular,399.0,472.0,150.0,343,390.0,161,298.0,504.0,387.0,3104
3,Ledies,347.0,454.0,150.0,337,322.0,153,289.0,495.0,363.0,2910
4,Hdcp,,,,,,,,,,­
