,鶴居東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,4,3,4D,4,3N,5,36
1,BACK,413,411,524,389,229,417,445,152,539,3519
2,REGULAR,384,387,510,363,215,396,411,133,510,3309
3,Front,333,330,444,292,121,349,332,120,470,2791
4,Front2,284,285,444,292,121,310,308,104,446,2594
5,Hdcp,15,3,7,13,5,9,1,17,11,­
