,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3N,4,5D,4,4,3,4,36
1,Back,384,516,151,413,473,365,338,175,443,3258
2,Regular,367,478,136,393,464,350,311,157,390,3046
3,Front,313,436,82,367,428,323,272,98,316,2635
4,Champion,427,553,186,435,508,394,367,217,479,3566
5,Hdcp,8,2,7,3,6,4,9,5,1,­
