,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,4,5D,3,4,3N,4,36
1,Back T,384,511,374,330,583,190,391,128,382,3273
2,Regular,352,458,357,299,533,162,355,117,349,2982
3,Front,279,412,268,228,478,134,286,77,334,2496
4,Champion,420,548,424,357,611,213,442,146,458,3619
5,Hdcp,6,4,5,9,1,7,3,8,2,­
