,マスターズ　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,5,4,3N,5D,4,4,36
1,Blue T.,416,386,149,497,350,179,481,376,396,3230
2,Orange T.,393,351,132,455,328,167,469,356,370,3021
3,White T.,368,340,115,434,315,164,456,336,338,2866
4,Red T.,301,305,94,377,271,109,394,282,289,2422
5,Hdcp,6,10,18,2,14,16,4,12,8,­
