,桜　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4D,3N,5,4,3N,4,4,36
1,Back T.,426,503,443,230,541,361,192,396,390,3482
2,Reg.,399,481,416,208,519,350,172,363,368,3276
3,Ladies,372,427,361,175,421,344,124,316,352,2892
4,Hdcp,4,6,1,7,3,9,8,5,2,­
