,西　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,5.0,3.0,4.0,5.0,4.0,3N,4.0,4.0,36
1,Champ.,387.0,561.0,198.0,367.0,523.0,392.0,166,413.0,398.0,3405
2,Reg.,372.0,528.0,179.0,353.0,499.0,374.0,151,383.0,370.0,3209
3,Front.,328.0,466.0,148.0,297.0,452.0,312.0,140,326.0,311.0,2780
4,Hdcp,,,,,,,,,,­
